title,artist,top genre,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness ,popularity
Yellow,Coldplay,permanent wave,2000,173,66,43,-7,23,28,267,0,3,90
The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,89
In the End,Linkin Park,alternative metal,2000,105,86,56,-6,21,40,217,1,6,87
Stan,Eminem,detroit hip hop,2000,80,77,78,-4,52,51,404,4,24,85
Ms. Jackson,Outkast,atl hip hop,2000,95,81,84,-6,8,61,271,14,27,83
It's My Life,Bon Jovi,glam metal,2000,120,91,55,-4,35,54,224,3,5,82
Kryptonite,3 Doors Down,alternative metal,2000,99,87,55,-6,17,54,234,1,3,81
It Wasn't Me,Shaggy,dance pop,2000,95,61,85,-5,31,65,228,6,7,80
Oops!...I Did It Again,Britney Spears,dance pop,2000,95,83,75,-5,36,89,211,30,4,80
Dancing in the Moonlight,Toploader,british alternative rock,2000,119,86,63,-3,35,87,233,6,3,79
Rollin' (Air Raid Vehicle),Limp Bizkit,alternative metal,2000,96,93,60,-3,21,71,214,1,17,79
Angel,Shaggy,dance pop,2000,171,77,74,-3,4,81,235,12,18,78
Better Off Alone,Alice Deejay,bouncy house,2000,137,88,67,-6,28,79,215,0,6,78
Ride Wit Me,Nelly,dance pop,2000,102,70,85,-6,24,72,292,6,5,77
Beautiful Day,U2,irish rock,2000,136,93,54,-6,20,39,248,2,6,76
The Middle,Jimmy Eat World,alternative metal,2001,162,85,64,-5,6,90,166,4,5,83
Whenever Wherever,Shakira,colombian pop,2001,108,83,79,-5,20,87,196,24,4,83
How You Remind Me,Nickelback,alternative metal,2001,172,76,45,-5,10,54,224,0,3,81
Drops of Jupiter (Tell Me),Train,dance pop,2001,79,64,48,-6,15,50,260,15,3,80
Island In The Sun,Weezer,alternative rock,2001,115,81,65,-6,17,66,200,1,3,80
One More Time,Daft Punk,electro,2001,123,70,61,-9,33,48,320,2,13,79
Clint Eastwood,Gorillaz,alternative hip hop,2001,168,69,66,-9,7,53,341,3,17,78
Family Affair,Mary J. Blige,dance pop,2001,93,55,91,-4,9,97,266,13,4,78
Lady - Hear Me Tonight,Modjo,disco house,2001,126,81,72,-6,6,87,307,1,4,78
Can't Get You out of My Head,Kylie Minogue,australian dance,2001,126,56,77,-8,12,96,231,3,3,77
In Too Deep,Sum 41,alternative metal,2001,116,84,57,-6,6,77,207,0,5,77
Let Me Blow Ya Mind,Eve,contemporary r&b,2001,90,56,91,-4,7,90,230,24,11,77
Smooth Criminal,Alien Ant Farm,alternative metal,2001,127,96,65,-4,14,87,209,0,6,77
Fat Lip,Sum 41,alternative metal,2001,197,91,40,-5,7,63,178,0,14,76
L'Amour Toujours,Gigi D'Agostino,eurodance,2001,139,88,64,-4,36,74,242,8,3,76
Without Me,Eminem,detroit hip hop,2002,112,67,91,-3,24,66,290,0,7,90
The Scientist,Coldplay,permanent wave,2002,146,44,56,-7,11,21,310,73,2,86
Till I Collapse,Eminem,detroit hip hop,2002,171,85,55,-3,8,10,298,6,19,86
Can't Stop,Red Hot Chili Peppers,alternative rock,2002,91,94,62,-3,17,88,269,2,5,83
Clocks,Coldplay,permanent wave,2002,131,75,58,-7,18,26,308,60,3,83
Complicated,Avril Lavigne,canadian pop,2002,78,78,59,-6,30,43,245,6,5,81
She Will Be Loved - Radio Mix,Maroon 5,pop,2002,102,66,65,-6,10,47,259,23,3,81
This Love,Maroon 5,pop,2002,95,86,71,-5,9,81,206,5,4,81
Dilemma,Nelly,dance pop,2002,168,55,73,-8,20,61,289,23,14,80
Sing For The Moment,Eminem,detroit hip hop,2002,164,82,67,-4,4,19,340,0,14,80
All The Things She Said,t.A.T.u.,dance pop,2002,90,83,60,-6,11,38,214,4,4,79
Like a Stone,Audioslave,alternative metal,2002,108,57,61,-5,10,52,294,1,3,79
A Thousand Miles,Vanessa Carlton,lilith,2002,95,83,56,-4,16,27,237,32,4,78
Here Without You,3 Doors Down,alternative metal,2002,144,53,56,-7,21,23,239,5,3,78
Rock Your Body,Justin Timberlake,dance pop,2002,101,71,89,-6,5,82,267,20,14,78
Numb,Linkin Park,alternative metal,2003,110,86,50,-4,64,24,186,0,4,87
Seven Nation Army,The White Stripes,alternative rock,2003,124,45,74,-8,34,28,232,0,7,86
Bring Me To Life,Evanescence,alternative metal,2003,95,94,33,-3,24,30,236,1,7,84
In Da Club,50 Cent,east coast hip hop,2003,90,71,90,-3,7,78,193,26,37,84
Toxic,Britney Spears,dance pop,2003,143,84,77,-4,24,92,199,2,11,84
Hey Ya!,Outkast,atl hip hop,2003,80,97,73,-2,17,97,235,10,7,83
The Reason,Hoobastank,alternative metal,2003,83,67,47,-5,16,7,233,1,3,83
If I Ain't Got You,Alicia Keys,neo soul,2003,118,44,61,-9,10,17,229,60,11,82
Where Is The Love?,Black Eyed Peas,dance pop,2003,94,70,83,-3,13,81,273,11,18,82
Crazy In Love (feat. Jay-Z),Beyoncé,pop,2003,99,77,65,-7,7,68,236,0,23,80
Faint,Linkin Park,alternative metal,2003,135,98,55,-4,7,59,163,11,13,80
P.I.M.P.,50 Cent,east coast hip hop,2003,85,77,71,-3,4,85,249,5,35,80
Are You Gonna Be My Girl,Jet,garage rock,2003,105,95,61,-3,15,54,214,0,9,78
I Miss You,blink-182,alternative metal,2003,110,71,42,-8,9,59,227,0,5,78
21 Questions,50 Cent,east coast hip hop,2003,93,81,65,-4,4,90,224,35,30,77
Mockingbird,Eminem,detroit hip hop,2004,84,68,64,-4,16,25,251,21,27,92
Mr. Brightside,The Killers,alternative rock,2004,148,91,35,-5,10,24,223,0,7,87
Somewhere Only We Know,Keane,neo mellow,2004,172,67,45,-4,8,30,237,6,3,87
Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2004,105,79,89,-5,4,58,250,2,11,84
Gasolina,Daddy Yankee,latin hip hop,2004,96,80,85,-7,8,74,193,32,6,83
Lose Yourself,Eminem,detroit hip hop,2004,171,74,69,-5,34,6,322,1,26,82
All Falls Down,Kanye West,chicago rap,2004,91,73,66,-5,14,43,224,15,48,81
Numb / Encore,JAY-Z,east coast hip hop,2004,107,79,69,-4,58,75,206,6,17,81
Take Me Out,Franz Ferdinand,alternative rock,2004,105,66,28,-9,14,53,237,0,4,81
American Idiot,Green Day,modern rock,2004,186,99,38,-2,37,77,176,0,6,80
My Boo,Usher,atl hip hop,2004,86,51,66,-8,5,68,223,26,12,80
Drop It Like It's Hot,Snoop Dogg,g funk,2004,92,63,89,-4,10,66,266,19,22,78
Unwritten,Natasha Bedingfield,dance pop,2004,100,80,71,-6,8,63,259,1,4,78
Call on Me - Radio Mix,Eric Prydz,edm,2004,126,84,60,-7,84,45,171,0,38,77
Let Me Love You,Mario,dance pop,2004,95,58,66,-9,12,56,257,24,9,76
Hips Don't Lie (feat. Wyclef Jean),Shakira,colombian pop,2005,100,82,78,-6,41,76,218,28,7,86
Feel Good Inc.,Gorillaz,alternative hip hop,2005,139,71,82,-7,61,77,223,1,18,85
Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,85
Hate It Or Love It,The Game,gangster rap,2005,100,79,80,-5,12,44,206,14,21,83
Candy Shop,50 Cent,east coast hip hop,2005,125,57,61,-8,38,76,209,3,47,82
Before He Cheats,Carrie Underwood,classic oklahoma country,2005,148,75,52,-3,12,29,200,27,4,81
Gold Digger,Kanye West,chicago rap,2005,93,70,63,-6,6,62,208,2,35,81
How to Save a Life,The Fray,neo mellow,2005,122,74,64,-4,10,36,263,27,4,81
Love,Keyshia Cole,hip pop,2005,117,52,69,-4,10,32,255,6,3,81
Pon de Replay,Rihanna,barbadian pop,2005,99,64,78,-8,10,50,247,0,16,81
Temperature,Sean Paul,dance pop,2005,125,60,95,-5,7,82,219,11,7,81
Hey There Delilah,Plain White T's,modern rock,2005,104,29,66,-11,11,30,233,87,3,80
Just A Lil Bit,50 Cent,east coast hip hop,2005,97,69,49,-7,32,53,238,3,41,80
Lonely,Akon,dance pop,2005,90,53,63,-8,26,62,236,34,3,80
"Sugar, We're Goin Down",Fall Out Boy,emo,2005,162,84,49,-5,12,57,229,1,8,80
Promiscuous,Nelly Furtado,canadian latin,2006,114,97,81,-6,15,87,242,6,5,85
Smack That,Akon,dance pop,2006,119,74,94,-5,11,92,212,32,5,83
Chasing Cars,Snow Patrol,irish rock,2006,104,60,56,-5,13,14,268,20,3,82
Maneater,Nelly Furtado,canadian latin,2006,133,78,80,-5,12,79,259,3,4,82
Say It Right,Nelly Furtado,canadian latin,2006,117,87,87,-6,5,81,223,5,14,82
Teenagers,My Chemical Romance,emo,2006,112,86,46,-3,18,86,162,5,6,82
Back To Black,Amy Winehouse,british soul,2006,123,42,40,-14,9,38,241,13,4,81
